NameTH	NameEN	LastNameTH	LastNameEN	DepartmentTH	doc_count	cited_by_count
สุกัญญา 	Sukanya 	รัตโนทยานนท์	Ratanotayanon	คณะวิทยาศาสตร์และเทคโนโลยี	14	57
วราภรณ์ 	Waraporn 	สำเภา	Sampao	คณะศิลปกรรมศาสตร์	0	0
อมลชญา 	Amolchaya 	ขวัญเกื้อ	Kwankua	คณะแพทยศาสตร์	1	12
ทศนัย 	Tossanai 	พิพัฒน์โชติธรรม	Pipatchotitham	คณะแพทยศาสตร์	0	0
พัชราภรณ์ 	Patcharaporn 	ฐิติวงศ์เศวต	Thitiwongsawet	คณะวิศวกรรมศาสตร์	8	48
สัณห์สิรี 	Sunsiree 	โฆษินทร์เดชา	Kosindesha	คณะเศรษฐศาสตร์	0	0
จุฬารัต 	Jularut 	ผดุงชีวิต	Padunchewit	คณะสังคมวิทยาและมานุษยวิทยา	0	0
กิตติพงศ์ 	Kittipong 	กมลธรรมวงศ์	Kamolthamwong	คณะนิติศาสตร์	0	0
ณัฏฐพัชร 	Nattapat 	สโรบล	Sarabol	คณะสังคมสงเคราะห์ศาสตร์	0	0
วิไลรัตน์ 	Wilairat 	ประเสริฐ	Prasert	คณะแพทยศาสตร์	2	5
เพ็ญวิสาข์ 	Penwisa 	พิสิฏฐศักดิ์	Pisitsak	คณะวิทยาศาสตร์และเทคโนโลยี	12	20
ธีรชัย 	Teerachai 	อรุณเรืองศิริเลิศ	Arunruangsirilert	คณะพาณิชยศาสตร์และการบัญชี	1	1
สุวดี 	Suwadee 	ก้องพารากุล	Kongparakul	คณะวิทยาศาสตร์และเทคโนโลยี	26	98
ฌลณต 	Chollanot 	เกษตร	Kaset	คณะสหเวชศาสตร์	5	23
จิราภรณ์ 	Jiraporn 	คุ้ยทรัพย์	Kuesap	คณะสหเวชศาสตร์	15	75
เอมผกา 	Aimpaga 	เตชะอภัยคุณ	Techa-apikun	คณะนิติศาสตร์	0	0
กิตติวัฒน์ 	Kittiwat 	จันทร์แจ่มใส	Chunchaemsai	คณะนิติศาสตร์	0	0
จุฑามน 	Juthamon 	สิทธิผลวนิชกุล	Sithipolvanichgul	คณะพาณิชยศาสตร์และการบัญชี	0	0
ปรีชญา 	Preechaya 	มงคลหัตถี	Mongkolhutthi	สถาบันภาษา	0	0
กฤษณ์ 	Krit 	ปัทมะโรจน์	Pattamaroj	คณะพาณิชยศาสตร์และการบัญชี	1	0
บัณฑูร 	Banthun 	ราชมณี	Ratmanee	คณะศิลปศาสตร์	0	0
ศิริวรรณ 	Siriwon 	มุนินทรวงศ์	Munintarawong	คณะศิลปศาสตร์	0	0
นิติ 	Niti 	รัตนปรีชาเวช	Rattanaprichavej	คณะพาณิชยศาสตร์และการบัญชี	0	0
รวินทร์ 	Rawin 	ยังน้อย	Youngnoi	คณะวิทยาศาสตร์และเทคโนโลยี	0	0
ฑัณธิดา 	Thuntida 	งามขำ	Ngamkham	คณะวิทยาศาสตร์และเทคโนโลยี	3	4
ภทรวรรณ 	Patarawan 	แสงนวกิจ	Sangnawakij	คณะวิทยาศาสตร์และเทคโนโลยี	7	2
แก้วขวัญ 	Kaewkwan 	ตั้งติพงศ์กูล	Thangtipongkul	คณะเศรษฐศาสตร์	0	0
อรณิศา 	Ornisa 	วิริยธนานนท์	Wiriyathananon	คณะศิลปศาสตร์	0	0
วิมลนิตย์ 	Wimonnit 	ชาวกงจักร	Chaokongjakra	สถาบันภาษา	0	0
เสาวธาร 	Saowathan 	โพธิ์กลัด	Phoglad	คณะสังคมสงเคราะห์ศาสตร์	0	0
ธาริตา 	Tharita 	อินทนาม	Intanam	คณะศิลปศาสตร์	0	0
พีระศักดิ์ 	Peerasak 	เภาประเสริฐ	Paoprasert	คณะวิทยาศาสตร์และเทคโนโลยี	31	258
เหมือนมาด 	Muanmard 	มุกข์ประดิษฐ์	Mookpradit	คณะศิลปศาสตร์	0	0
ทวีป 	Taweep 	ชัยสมภพ	Chaisomphob	ภาควิชาวิศวกรรมและเทคโนโลยีโยธา สถาบันเทคโนโลยีนานาชาติสิรินธร	15	104
อรรถสิทธิ์ 	Attasit 	พานแก้ว	Pankaew	คณะรัฐศาสตร์	0	0
สมนึก 	Somnuk 	ตั้งเติมสิริกุล	Tangtermsirikul	ภาควิชาวิศวกรรมและเทคโนโลยีโยธา สถาบันเทคโนโลยีนานาชาติสิรินธร	39	297
ไพศาล 	Pisal 	เย็นฤดี	Yenradee	ภาควิชาวิศวกรรมเครื่องกลและระบบการผลิต สถาบันเทคโนโลยีนานาชาติสิรินธร	31	306
จิรชัย 	Jirachai 	พุทธกุลสมศิริ	Buddhakulsomsiri	ภาควิชาวิศวกรรมเครื่องกลและระบบการผลิต สถาบันเทคโนโลยีนานาชาติสิรินธร	24	172
ศรัทธา 	Satha 	อาภรณ์รัตน์	Aphornratana	ภาควิชาวิศวกรรมเครื่องกลและระบบการผลิต สถาบันเทคโนโลยีนานาชาติสิรินธร	23	987
ปกรณ์ 	Pakorn 	โอภาประกาสิต	Opaprakasit	ภาควิชาการศึกษาร่วมและบัณฑิตศึกษา สถาบันเทคโนโลยีนานาชาติสิรินธร	41	259
ศุภชาติ 	Supachart 	จงไพบูลย์พัฒนะ	Chungpaibulpatana	ภาควิชาวิศวกรรมเครื่องกลและระบบการผลิต สถาบันเทคโนโลยีนานาชาติสิรินธร	0	0
พฤทธา 	Pruettha 	ณ นคร	Nanakorn	ภาควิชาวิศวกรรมและเทคโนโลยีโยธา สถาบันเทคโนโลยีนานาชาติสิรินธร	26	207
ธนัญชัย 	Thananchai 	ลีภักดิ์ปรีดา	Leephakpreeda	ภาควิชาวิศวกรรมเครื่องกลและระบบการผลิต สถาบันเทคโนโลยีนานาชาติสิรินธร	43	390
บัณฑิต 	Bundit 	ลิ้มมีโชคชัย	Limmeechokchai	ภาควิชาวิศวกรรมเครื่องกลและระบบการผลิต สถาบันเทคโนโลยีนานาชาติสิรินธร	87	457
นาวี 	Navee 	เจี่ยดำรง	Chiadamrong	ภาควิชาวิศวกรรมเครื่องกลและระบบการผลิต สถาบันเทคโนโลยีนานาชาติสิรินธร	19	170
วิญญู 	Winyu 	รัตนปิติกรณ์	Rattanapitikon	ภาควิชาวิศวกรรมและเทคโนโลยีโยธา สถาบันเทคโนโลยีนานาชาติสิรินธร	24	98
รัชต์นรินทร์ 	Rachnarin 	นิติศรวุฒิ	Nitisoravut	ภาควิชาวิศวกรรมและเทคโนโลยีเคมีชีวภาพ สถาบันเทคโนโลยีนานาชาติสิรินธร	16	424
Vladimir 	Vladimir 	Ignatievich Kuprianov	Kuprianov	ภาควิชาวิศวกรรมเครื่องกลและระบบการผลิต สถาบันเทคโนโลยีนานาชาติสิรินธร	0	0
วรรณวิภา 	Wanwipa 	ศิริวัฒน์เวชกุล	Siriwatwechakul	ภาควิชาวิศวกรรมและเทคโนโลยีเคมีชีวภาพ สถาบันเทคโนโลยีนานาชาติสิรินธร	7	51
มงกุฎ 	Mongkut 	เพียรธนะกูลชัย	Piantanakulchai	ภาควิชาวิศวกรรมและเทคโนโลยีโยธา สถาบันเทคโนโลยีนานาชาติสิรินธร	9	82
