author,abstract,title,cited,year,location,linkpdf
Somnuk Tangtermsirikul,Abstract The utilization of fly ash as a solid sorbent material for CO 2 capture via surface adsorption and carbonation reaction was evaluated as an economically feasible CO 2 reduction technique. The results show that fly ash from a coal fired power plant can capture ,CO2 capture using fly ash from coal fired power plant and applications of CO2-captured fly ash as a mineral admixture for concrete,12,2016,,
Somnuk Tangtermsirikul,"Abstract The curing sensitivity of concrete with cement Types 1, 3, and 5 as well as multiple powders consisting of cement, fly ash, and limestone powder was studied. Bottom ash was also used in the study as an internal curing agent and a partial substitution of fine aggregate. ",A model for predicting workability of fresh mortar and concrete,10,2001,../papers2/CET/Somnuk Tangtermsirikul/_pdf,https://www.jstage.jst.go.jp/article/jscej1984/2001/676/2001_676_149/_pdf
Somnuk Tangtermsirikul,"ABSTRACT: This paper describes the situation of fly ash usage in Thailand. Firstly, the general information including typical characteristics of fly ash in Thailand is given. Properties of fly ash in Thailand were compared with those of the fly ash in Japan in terms of chemical ","Effect of cement types, mineral admixtures, and bottom ash on the curing sensitivity of concrete",9,2013,,
Somnuk Tangtermsirikul,"Abstract The effect of leaching on carbonation resistance of cement-based materials and steel corrosion in concrete is experimentally investigated. In order to investigate effect of leaching on carbonation, cement-based materials were exposed to three different leaching ",Development of fly ash usage in Thailand,9,2005,../papers2/CET/Somnuk Tangtermsirikul/Somnuk Tangtermsirikul_A122F8.pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.572.8353&rep=rep1&type=pdf
Somnuk Tangtermsirikul,"ABSTRACT: The effect of water to binder (w/b) ratio, paste content, type of cement, content of mineral admixtures, aggregate maximum size (Gmax), sand content, and presence of moisture on the tensile strain capacity, or cracking strain, of concrete were investigated ",Influence of mixture condition and moisture on tensile strain capacity of concrete,7,2008,../papers2/CET/Somnuk Tangtermsirikul/10460406.pdf,http://www.thaiscience.info/Journals/Article/SCAS/10460406.pdf
Somnuk Tangtermsirikul,ABSTRACT This paper is aimed to propose a model for simulating aggregate phase stiffness and its effect on concrete shrinkage based on the concept of concrete as a two-phase material (paste phase and aggregate phase). Regarding the effect of aggregate ,Modeling of Aggregate Stiffness and Its Effect on Shrinkage of Concrete,6,2001,../papers2/CET/Somnuk Tangtermsirikul/10460006.pdf,http://www.thaiscience.info/Journals/Article/SCAS/10460006.pdf
Somnuk Tangtermsirikul,"ABSTRACT: The aim of this paper is to investigate the time-dependent chloride binding capacity of various types of cement pastes. Three types of cement (type I, III and V) were used in this study. Cement paste specimens with different water to cement ratio, cement ",Time-dependent chloride binding capacity of various types of cement pastes,5,2004,../papers2/CET/Somnuk Tangtermsirikul/v30_127_134.pdf,http://scienceasia.org/2004.30.n2/v30_127_134.pdf
Somnuk Tangtermsirikul,The current paper presents a model for predicting compressive strength of no-slump concrete with and without fly ash by considering the effect of elevated curing temperature. The model was constructed based on the current authors' test results of compressive ,A strength model for no-slump concrete with fly ash,4,2007,,
Somnuk Tangtermsirikul,"Abstract: Fly ash and limestone powder are two major widely available cement replacing 14 materials in Thailand. However, the current utilization of these materials is still not optimized 15 due to limited information on properties of multi-binder systems. This paper reports 16 ","Properies of binder systems containing cement, fly ash, and limestone powder",4,2014,../papers2/CET/Somnuk Tangtermsirikul/6.pdf,http://rdo.psu.ac.th/sjstweb/Ar-Press/57-August/6.pdf
Somnuk Tangtermsirikul,Abstract The objective of this study is to investigate the effect of concrete mix proportion and fly ash on half-cell potential (HCP) and corrosion current density (icorr) of steel in concrete exposed to different environments. Reinforced concrete specimens with different fly ash ,Comparison between half-cell potential of reinforced concrete exposed to carbon dioxide and chloride environment,3,2010,../papers2/CET/Somnuk Tangtermsirikul/10660115.pdf,http://www.thaiscience.info/journals/Article/SONG/10660115.pdf
Somnuk Tangtermsirikul,"Abstract This paper proposes a model for simulating concrete shrinkage taking into account aggregate restraint. In the model, concrete is regarded as a two-phase material based on shrinkage property. One is paste phase which undergoes shrinkage. Another is aggregate ",Simulation of concrete shrinkage taking into account aggregate restraint,3,1997,,
Somnuk Tangtermsirikul,"Abstract: This paper explains the development of a roller-compacted concrete for constructing or renovating concrete pavement (RCCP), using lignite fly ash in Thailand. A method for proportioning the lignite fly ash RCCP based on the ratio, y, between paste ",Sodium and magnesium sulfate resistance of mortars with interground limestone and limestone powder replacing cements,2,2014,../papers2/CET/Somnuk Tangtermsirikul/_pdf,https://www.jstage.jst.go.jp/article/jact/12/10/12_403/_pdf
Somnuk Tangtermsirikul,"Abstract In this study, concretes with binary and ternary blends of Portland cement, fly ash and limestone powder were produced to investigate their curing sensitivity by considering compressive strength and carbonation depth as the indicators. The effect of w/b on the ",A multi-segment mathematical model with variable compliance for pressure controlled ventilation,2,2004,../papers2/CET/Somnuk Tangtermsirikul/v30_191_203.pdf,http://scienceasia.org/2004.30.n2/v30_191_203.pdf
